NumeroDaAmostra	DataDeRegistroNoSISAGUA	DataColeta	DescricaoDoLocal	Zona	CategoriaArea	Area	TipoDoLocal	NomeLocal	Latitude	Longitude	fk_Municipio_CodigoDoIBGE	Procedencia	PontoDeColeta	Motivo	Hora
191208000081	2019-12-09 12:09:24	2019-08-06	VILA CHA DO ESQUECIDO								261380	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:40:00
191209000122	2019-12-16 16:11:15	2019-08-06	ENGENHO UNIÃO	Rural	Povoado/Lugarejo	ENGENHO UNIAO					261530	SOLUÇÃO ALTERNATIVA		Rotina	10:40:00
190101000900	2019-10-31 09:59:11	2019-08-06	SÍTIO TAMBORIL	Rural	Núcleo/Propriedade Rural	FAZENDA TAMBORIL 	Grupo de casas	SITIO FAZENDA TAMBORIL			260990	SOLUÇÃO ALTERNATIVA		Rotina	12:45:00
190101000901	2019-10-31 10:11:56	2019-08-06	SÍTIO ALGODÕES	Rural	Núcleo/Propriedade Rural	FAZENDA ALGODOES 	Grupo de casas	SITIO FAZENDA ALGODOES 			260990	SOLUÇÃO ALTERNATIVA		Rotina	13:30:00
190814000350	2019-09-24 15:43:38	2019-08-12	MORRO DO CRIOULO, BR 407	Rural	Povoado/Lugarejo	FAZENDA TERRA NOVA					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	08:20:00
190532000194	2019-10-01 11:29:14	2019-08-12	SITIO MUNDAU								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	08:25:00
190814000351	2019-09-24 15:46:40	2019-08-12	DISTRITO INDUSTRIAL DE PETROLINA								261110	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:00:00
190814000352	2019-09-24 15:48:54	2019-08-12	AV. TANCREDO NEVES, S/N, CENTRO	Urbana	Bairro	CENTRO					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	10:15:00
190702000299	2019-08-16 06:28:08	2019-08-12	COPASA AVENIDA CADIGE FAITARONE FERES Nº 153 BAIRRO: EDUARDO GIRAUDON	Urbana	Bairro	CENTRO					312700	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	17:00:00
190702000300	2019-08-16 06:33:00	2019-08-12	BR 153 Nº S/Nº BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de saúde	UNIDADE MISTA DE SAUDE			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:10:00
190702000301	2019-08-16 06:36:28	2019-08-12	RUA CAMPO FLORIDO Nº 395 BAIRRO: JARDIM ÂNGELO PASSUELO	Urbana	Bairro	JARDIM A PASSUELO	Creche	CRECHE DONA MENCORA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:20:00
190702000302	2019-08-16 06:39:55	2019-08-12	RUA GODOFREDO ANTONIO DA COSTA Nº 238 BAIRRO: DISTRITO SANTO ANTONIO DO RIO GRANDE	Urbana	Sede de distrito (ou vila)	SANTO ANTONIO DO RIO GRANDE	Estabelecimento de ensino	ESCOLA MUNICIPAL MARECHAL CASTELO BRANCO			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:30:00
190702000303	2019-08-16 06:43:45	2019-08-12	AVENIDA AURÉLIO LUIZ MISTIERI Nº 370 BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de ensino	ESCOLA ESTADUAL POLIANO ZIZA FERREIRA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	17:35:00
190718000109	2019-08-15 08:44:25	2019-08-12	IBÓ PERNAMBUCO	Rural	Núcleo/Propriedade Rural	FAZENDA RIACHO DO JUAZEIRO					260160	SOLUÇÃO ALTERNATIVA		Rotina	17:40:00
16	2019-08-20 10:22:59	2019-08-14	POSTO DE SAUDE	Urbana	Bairro	AGUA BRANCA BELA VISTA E CENTRO					313890	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:55:00
192901000069	2021-11-25 16:04:48	2019-08-19	PARQ. DA BOLANDEIRA S/N BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:40:00
190101000968	2019-10-18 12:38:30	2019-08-19	ADUTORA PAJEU - ETA CACHOEIRA								261390	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	10:00:00
192901000071	2021-11-25 16:08:57	2019-08-19	LADEIRA DO ALTO DA BOLA FEDERAÇÃO	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:15:00
192901000072	2021-11-25 16:15:30	2019-08-19	RUA SILVEIRA MARTINS CABULA	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:40:00
192901000075	2021-11-25 16:33:48	2019-08-19	RUA SILVEIRA MARTINS CABULA	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL RESERVATORIO R7 L05071			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:46:00
192901000076	2021-11-25 16:36:21	2019-08-19	RUA SILVEIRA MARTINS CABULA	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:48:00
192901000073	2021-11-25 16:23:14	2019-08-19	RUA SILVEIRA MARTINS CABULA	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:53:00
FR35224/2019.0A	2023-08-21 10:47:36	2019-08-26	RUA BORBA	Rural	Núcleo/Propriedade Rural	BORBA	Grupo de casas	APARECIDA CERCEAU	-2.030.901	-4.320.084	314000	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Desastre	13:36:00
190110000101	2020-08-31 22:28:01	2019-08-28	R ELÍSIO MESQUITA	Urbana	Bairro	PIRAJA	Outro	EMBASA PIRAJA RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:00:00
190110000100	2020-08-31 22:24:59	2019-08-28	PARQ DA BOLANDEIRA	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	09:32:00
190110000103	2020-09-01 10:08:46	2019-08-28	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:54:00
190110000104	2020-09-01 10:12:50	2019-08-28	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:56:00
190110000105	2020-09-01 10:15:07	2019-08-28	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:58:00
190110000106	2020-09-01 10:17:09	2019-08-28	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL RESERVATORIO R7 L05071			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:02:00
FR 35702	2020-09-16 10:12:15	2019-08-28									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	18:05:00
190110000102	2020-08-31 22:30:29	2019-08-29	LADEIRA DO ALTO DA BOLA	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:25:00
190915000066	2019-11-04 15:12:15	2019-08-30	SÍTIO JUÁ	Rural	Núcleo/Propriedade Rural	RODOVIA PE 630					261255	SOLUÇÃO ALTERNATIVA		Rotina	08:30:00
190915000067	2019-11-04 15:15:10	2019-08-30	SÍTIO INVEJA	Rural	Núcleo/Propriedade Rural	SITIO INVEJA	Outro	BARRAGEM DA INVEJA			261255	SOLUÇÃO ALTERNATIVA		Rotina	09:10:00
190921000125	2019-10-31 10:22:02	2019-08-30	SÍTIO TAMBORIL	Rural	Núcleo/Propriedade Rural	FAZENDA TAMBORIL 	Grupo de casas	SITIO FAZENDA TAMBORIL			260990	SOLUÇÃO ALTERNATIVA		Rotina	13:00:00
190921000126	2019-10-31 10:26:50	2019-08-30	SÍTIO ALGODÕES	Rural	Núcleo/Propriedade Rural	FAZENDA ALGODOES 	Grupo de casas	SITIO FAZENDA ALGODOES 			260990	SOLUÇÃO ALTERNATIVA		Rotina	14:02:00
191206000024	2019-12-09 10:41:10	2019-09-03	PB 232 ENGENHO MUZUMBO								260765	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:30:00
191206000026	2019-12-09 10:46:15	2019-09-03	ENGENHO BONITO S/N								260765	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	15:36:00
190815000144	2019-09-30 11:35:29	2019-09-09	PRAÇA CORONEL LUIZ CARVALHO, S/N	Urbana	Bairro	CENTRO					261260	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	08:20:00
190812000101	2019-09-30 11:30:32	2019-09-09	POVOADO DOS VERMELHOS	Rural	Povoado/Lugarejo	VERMELHOS					260875	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	09:30:00
190532000207	2019-10-01 11:32:02	2019-09-09	SITIO MUNDAU								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:35:00
190532000208	2019-10-10 10:20:04	2019-09-09	BARRAGEM MUNDAU - SITIO MUNDAU								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	09:35:00
190532000209	2019-10-10 10:24:21	2019-09-09	MORRRO DO COLUMINHO, SN	Urbana	Bairro	SAO JOSE					260600	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:15:00
190814000384	2019-09-24 15:52:00	2019-09-09		Urbana	Área urbana isolada	IZACOLANDIA					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	10:40:00
190718000118	2019-10-24 11:58:15	2019-09-10	PORTO DO IBÓ PERNAMBUCO	Rural	Núcleo/Propriedade Rural	FAZ CAICARA			-862.661	-39.244.955	260160	SOLUÇÃO ALTERNATIVA	Veículo transportador	Rotina	05:00:00
190101001047	2019-10-11 14:13:18	2019-09-10	POVOADO INGAZEIRA	Rural	Povoado/Lugarejo	BARRAGEM DA INGAZEIRA	Grupo de casas	POVOADO INGAZEIRA			261600	SOLUÇÃO ALTERNATIVA		Rotina	09:40:00
190101001048	2019-10-11 14:39:23	2019-09-10	SÍTIO RIACHO DO PAU	Rural	Núcleo/Propriedade Rural	ACUDE RIACHO DO PAU	Outro	ACUDE RIACHO DO PAU			260120	SOLUÇÃO ALTERNATIVA		Rotina	10:50:00
190101001049	2019-10-11 14:59:22	2019-09-10	AÇUDE MORORÓ	Urbana	Área urbana isolada	ACUDE MORORO	Outro	ACUDE MORORO			261080	SOLUÇÃO ALTERNATIVA		Rotina	11:50:00
190110000109	2020-09-02 09:29:29	2019-09-11	R ELISIO MESQUITA	Urbana	Bairro	PIRAJA	Outro	EMBASA PIRAJA RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:39:00
190110000107	2020-09-01 10:19:43	2019-09-11	PERQ DA BOLANDEIRA BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:20:00
190110000111	2020-09-02 09:34:08	2019-09-11	RUA AUGUSTO VIANA - CANELA	Urbana	Bairro	CANELA	Estabelecimento de saúde	HOSPITAL DAS CLINICAS			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	10:20:00
190110000108	2020-09-01 10:22:24	2019-09-11	PARQ DA BOLANDEIRA BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:21:00
190110000116	2020-09-02 09:46:03	2019-09-11	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:52:00
190110000113	2020-09-02 09:38:00	2019-09-11	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:54:00
190110000114	2020-09-02 09:40:25	2019-09-11	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL RESERVATORIO R7 L05071			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:56:00
190110000115	2020-09-02 09:42:31	2019-09-11	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:58:00
190110000117	2020-09-02 09:48:43	2019-09-11	AV EDGARD SANTOS	Urbana	Bairro	CABULA	Estabelecimento de saúde	HOSPITAL ROBERTO SANTOS 			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	15:07:00
190110000131	2020-07-30 09:19:43	2019-09-12	RUA SALDANHA MARINHO - CAIXA D'AGUA	Urbana	Bairro	CAIXA D'AGUA	Estabelecimento de saúde	HOSPITAL ANA NERY 			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	08:41:00
190110000132	2020-07-30 09:22:29	2019-09-12	RUA PLINIO DE LIMA BONFIM	Urbana	Bairro	BONFIM	Estabelecimento de saúde	HOSPITAL SAGRADA FAMILIA			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:15:00
190702000443	2019-09-20 20:45:35	2019-09-15	AVENIDA CADIGE FAITARONE FERES Nº 153 BAIRRO: EDUARDO GIRAUDON	Urbana	Bairro	CENTRO					312700	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	16:00:00
190702000444	2019-09-20 20:51:03	2019-09-15	BR 153 Nº S/N BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de saúde	UNIDADE MISTA DE SAUDE			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	16:10:00
190702000445	2019-09-20 20:54:41	2019-09-15	RUA CAMPO FLORIDO Nº 395 BAIRRO: JARDIM ÂNGELO PASSUELO	Urbana	Bairro	JARDIM A PASSUELO	Creche	CRECHE DONA MENCORA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	16:20:00
190702000446	2019-09-20 20:58:07	2019-09-15	RUA GODOFREDO ANTONIO DA COSTA Nº 238 BAIRRO: DISTRITO SANTO ANTONIO DO RIO GRANDE	Urbana	Sede de distrito (ou vila)	SANTO ANTONIO DO RIO GRANDE	Estabelecimento de ensino	ESCOLA MUNICIPAL MARECHAL CASTELO BRANCO			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	16:30:00
190702000447	2019-09-20 21:02:02	2019-09-15	AVENIDA AURÉLIO LUIZ MISTIERI Nº 370 BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de ensino	ESCOLA ESTADUAL POLIANO ZIZA FERREIRA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	16:40:00
FR 39174	2020-09-17 09:36:12	2019-09-18									320320	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Desastre	13:37:00
190110000120	2020-09-02 09:55:39	2019-09-23	R ELÍSIO MESQUITA	Urbana	Bairro	PIRAJA	Outro	EMBASA PIRAJA RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	10:20:00
190110000118	2020-09-02 09:50:55	2019-09-23	PARQ DA BOLANDEIRA BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:56:00
190110000119	2020-09-02 09:52:56	2019-09-23	PARQ DA BOLANDEIRA BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	11:00:00
190110000121	2020-09-02 09:58:29	2019-09-23	LADEIRA DO ALTO DA BOLA	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:27:00
190110000122	2020-09-02 10:00:57	2019-09-23	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:54:00
190110000126	2020-09-02 10:12:03	2019-09-23	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:59:00
190110000123	2020-09-02 10:04:42	2019-09-23	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:02:00
190110000124	2020-09-02 10:06:53	2019-09-23	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL RESERVATORIO R7 L05071			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:02:00
190110000125	2020-09-02 10:09:43	2019-09-23	R SILVEIRA MARTINS 210	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:06:00
190110000127	2020-07-30 09:01:26	2019-09-24	RUA SALDANHA MARINHO - CAIXA D'AGUA	Urbana	Bairro	CAIXA D'AGUA	Estabelecimento de saúde	HOSPITAL ANA NERY 			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:15:00
190110000128	2020-07-30 09:10:03	2019-09-24	AVENIDA EDGARD SANTOS - CABULA	Urbana	Bairro	CABULA	Estabelecimento de saúde	HOSPITAL ROBERTO SANTOS 			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:53:00
190110000129	2020-07-30 09:12:28	2019-09-24	RUA PLINIO DE LIMA S/N BONFIM	Urbana	Bairro	BONFIM	Estabelecimento de saúde	HOSPITAL SAGRADA FAMILIA			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	14:14:00
190110000130	2020-07-30 09:17:22	2019-09-24	RUA AUGUSTO VIANA - CANELA	Urbana	Bairro	CANELA	Estabelecimento de saúde	HOSPITAL DAS CLINICAS			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	14:42:00
FR40563/2019.0A	2023-08-21 11:55:39	2019-09-25	RUA BORBA	Rural	Núcleo/Propriedade Rural	BORBA	Grupo de casas	APARECIDA CERCEAU	-2.030.935	-4.320.075	314000	INTRA-DOMICILIAR / INTRA-PREDIAL	Torneira após a reservação	Desastre	14:20:00
190532000236	2019-11-01 11:09:18	2019-10-07	BARRAGEM MUNDAU.								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	05:27:00
190532000237	2019-11-12 11:20:31	2019-10-07	BARRAGEM MUNDAÚ								260600	PONTO DE CAPTAÇÃO(ÁGUA SUPERFICIAL OU SUBTERRÂNEA)		Rotina	05:27:00
190813000044	2019-10-11 08:10:19	2019-10-07	RUA FRANCISCO GORGONHA, S/N	Urbana	Bairro	CENTRO					260980	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	10:25:00
190816000116	2019-10-11 08:03:37	2019-10-07	AV. JOÃO PIRES DA SILVA	Urbana	Bairro	CENTRO					260300	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	11:30:00
190702000544	2019-10-19 16:17:31	2019-10-13	AVENIDA CADIGE FAITARONE FERES Nº 153 BAIRRO: EDUARDO GIRAUDON	Urbana	Bairro	CENTRO					312700	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	13:10:00
190702000545	2019-10-19 16:21:04	2019-10-13	BR 153 Nº S/Nº BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de saúde	UNIDADE MISTA DE SAUDE			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	13:25:00
190702000546	2019-10-19 16:24:14	2019-10-13	RUA CAMPO FLORIDO Nº 395 BAIRRO: JARDIM ÂNGELO PASSUELO	Urbana	Bairro	JARDIM A PASSUELO	Creche	CRECHE DONA MENCORA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	13:35:00
190702000547	2019-10-19 16:27:27	2019-10-13	RUA GODOFREDO ANTONIO DA COSTA Nº 238 BAIRRO: DISTRITO SANTO ANTONIO DO RIO GRANDE	Urbana	Sede de distrito (ou vila)	SANTO ANTONIO DO RIO GRANDE	Estabelecimento de ensino	ESCOLA MUNICIPAL MARECHAL CASTELO BRANCO			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	13:45:00
190702000548	2019-10-19 16:30:55	2019-10-13	AVENIDA AURÉLIO LUIZ MISTIERI Nº 370 BAIRRO: CENTRO	Urbana	Bairro	CENTRO	Estabelecimento de ensino	ESCOLA ESTADUAL POLIANO ZIZA FERREIRA			312700	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	13:52:00
190814000385	2019-10-29 16:03:10	2019-10-14	DISTRITO INDUSTRIAL DE PETROLINA	Urbana	Bairro	DISTRITO INDUSTRIAL					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	08:00:00
190814000388	2019-10-29 16:09:55	2019-10-14	AV. TANCREDO NEVES, CENTRO, PETROLINA	Urbana	Bairro	CENTRO					261110	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Água pós-filtração/pré-desinfecção	Rotina	09:10:00
190110000135	2020-07-30 08:45:27	2019-10-16	RUA DR OSVALDO JOSÉ LEAL - ÁGUAS CLARAS	Urbana	Bairro	PIRAJA	Outro	EMBASA PIRAJA RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	09:56:00
190110000134	2020-07-30 11:01:07	2019-10-16	PARQUE DA BOLANDEIRA S/N BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:37:00
190110000133	2020-07-30 10:58:32	2019-10-16	PARQUE DA BOLANDEIRA S/N BOCA DO RIO	Urbana	Bairro	BOCA DO RIO					292740	ESTAÇÃO DE TRATAMENTO DE ÁGUA	Saída de tratamento/pós-desinfecção	Rotina	10:39:00
190110000141	2020-07-30 11:03:14	2019-10-16	LADEIRA DO ALTO DA BOLA	Urbana	Bairro	FEDERACAO	Outro	EMBASA FEDERACAO RESERVATORIO			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:20:00
192901000074	2021-11-25 16:30:51	2019-10-16	RUA SILVEIRA MARTINS CABULA	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:45:00
190110000142	2020-07-30 11:07:20	2019-10-16	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA LIBERDADE RESERVATORIO R7 L05069			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:51:00
190110000146	2020-07-30 11:38:21	2019-10-16	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA SAO GONCALO RESERVATORIO R7			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:55:00
190110000143	2020-07-30 11:27:19	2019-10-16	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA SAIDA DA CAMARA NOVA RESERVATORIO R7 L05027			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	14:59:00
190110000144	2020-07-30 11:30:32	2019-10-16	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA DA ETA PRINCIPAL RESERVATORIO R7 L05071			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:03:00
190110000145	2020-07-30 11:32:59	2019-10-16	RUA SILVEIRA MARTINS	Urbana	Bairro	CABULA	Outro	EMBASA CHEGADA ALTA CARGA DA BOLANDEIRA RESERVATORIO R7 L05072			292740	SISTEMA DE DISTRIBUIÇÃO	Reservatório de distribuição	Rotina	15:06:00
190110000138	2020-07-30 09:50:32	2019-10-17	RUA SALDANHA MARINHO - CAIXA D'AGUA	Urbana	Bairro	CAIXA D'AGUA	Estabelecimento de saúde	HOSPITAL ANA NERY 			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:18:00
190110000137	2020-07-30 09:45:22	2019-10-17	RUA AUGUSTO VIANA - CANELA	Urbana	Bairro	CANELA	Estabelecimento de saúde	HOSPITAL DAS CLINICAS			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:25:00
190110000140	2020-07-30 10:56:08	2019-10-17	AV DENDEZEIROS BONFIM	Urbana	Bairro	BONFIM	Estabelecimento de saúde	HOSPITAL SANTO ANTONIO IRMA DULCE			292740	SISTEMA DE DISTRIBUIÇÃO	Cavalete/Hidrômetro	Rotina	09:55:00
